City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,isangel,-19.55,169.2667,78.67,80,100,15.86,VU,1612167815
84,lashio,22.9333,97.75,77.7,21,0,5.68,MM,1612167815
85,sitka,57.0531,-135.33,30.2,80,1,4.45,US,1612167815
86,belyy yar,53.6039,91.3903,-5.8,59,89,2.24,RU,1612167815
87,bambous virieux,-20.3428,57.7575,86.0,74,75,13.8,MU,1612167815
88,broome,42.2506,-75.833,21.99,93,90,10.36,US,1612167815
89,quatre cocos,-20.2078,57.7625,86.0,74,75,13.8,MU,1612167815
90,craig,40.5153,-107.5464,17.6,92,1,2.15,US,1612167626
91,kuusamo,65.9667,29.1833,6.8,85,20,3.44,FI,1612167815
92,vaini,-21.2,-175.2,77.0,94,90,11.5,TO,1612167816
93,sinegorye,62.0788,150.477,-29.94,79,100,6.8,RU,1612167816
94,nome,64.5011,-165.4064,8.01,56,90,23.02,US,1612167816
95,thinadhoo,0.5333,72.9333,83.17,73,21,9.31,MV,1612167816
96,oranjemund,-28.55,16.4333,70.84,67,6,8.57,NA,1612167816
97,veshenskaya,49.6303,41.7334,33.33,92,100,9.55,RU,1612167816
98,vaitape,-16.5167,-151.75,81.18,74,71,12.19,PF,1612167816
99,qaanaaq,77.484,-69.3632,-7.73,86,98,1.57,GL,1612167817
100,naze,28.3667,129.4833,69.8,60,20,10.36,JP,1612167817
101,tianpeng,30.9866,103.9393,61.0,45,1,5.48,CN,1612167817
102,deputatskiy,69.3,139.9,-25.65,88,100,2.15,RU,1612167817
103,ancud,-41.8697,-73.8203,53.01,93,0,11.5,CL,1612167817
104,cumana,10.4635,-64.1775,74.77,75,100,9.22,VE,1612167817
105,galiakot,23.5167,74.0,85.51,13,0,4.76,IN,1612167817
106,bentiu,9.2333,29.8333,92.82,11,1,8.41,SS,1612167817
107,lebu,-37.6167,-73.65,55.65,89,33,14.03,CL,1612167817
108,bulgan,48.8125,103.5347,1.89,86,0,1.79,MN,1612167818
109,ostrovnoy,68.0531,39.5131,14.41,96,99,3.85,RU,1612167668
110,yellowknife,62.456,-114.3525,-11.0,77,90,4.61,CA,1612167818
111,makaha,21.4694,-158.2175,73.0,94,75,3.44,US,1612167818
112,norman wells,65.282,-126.8329,-22.0,76,75,3.44,CA,1612167818
113,polunochnoye,60.8697,60.4153,22.51,97,100,12.46,RU,1612167818
114,almaznyy,48.0448,40.045,42.8,93,40,13.42,RU,1612167818
115,vytegra,61.0064,36.4481,20.19,97,99,7.31,RU,1612167818
116,kamsack,51.5667,-101.9009,15.8,92,90,9.22,CA,1612167819
117,sawakin,19.1059,37.3321,72.28,79,100,9.78,SD,1612167819
118,shebalino,51.2917,85.6772,34.81,84,100,1.99,RU,1612167671
119,san rafael,-34.6177,-68.3301,52.54,74,0,2.64,AR,1612167635
120,moron,-34.6534,-58.6198,64.99,94,90,4.61,AR,1612167819
121,yarada,17.65,83.2667,82.4,54,75,11.5,IN,1612167819
122,sterling,39.0062,-77.4286,28.99,93,90,11.5,US,1612167819
123,acarau,-2.8856,-40.12,79.39,83,100,12.57,BR,1612167819
124,tuatapere,-46.1333,167.6833,59.61,81,49,3.24,NZ,1612167819
125,albany,42.6001,-73.9662,14.0,63,100,2.64,US,1612167820
126,jalu,29.0331,21.5482,67.75,23,0,13.89,LY,1612167820
127,katsuura,35.1333,140.3,55.99,67,40,17.27,JP,1612167820
128,nadadores,27.05,-101.6,55.99,30,0,5.61,MX,1612167820
129,colares,38.7992,-9.4469,59.0,94,75,4.61,PT,1612167820
130,san quintin,30.4833,-115.95,59.2,67,100,6.24,MX,1612167820
131,bengkulu,-3.8004,102.2655,85.51,67,78,8.37,ID,1612167820
132,micheweni,-4.9667,39.8333,83.48,66,100,9.22,TZ,1612167820
133,vao,-22.6667,167.4833,75.83,75,89,24.38,NC,1612167820
134,clyde river,70.4692,-68.5914,-5.8,77,90,25.32,CA,1612167821
135,salalah,17.0151,54.0924,78.8,57,0,6.91,OM,1612167821
136,sangar,63.9242,127.4739,-49.41,76,59,2.48,RU,1612167821
137,kysyl-syr,63.8986,122.7617,-36.54,81,100,5.7,RU,1612167821
138,qandala,11.472,49.8728,75.09,50,0,8.43,SO,1612167821
139,lebedinyy,58.5167,125.5167,-37.98,81,100,2.73,RU,1612167821
140,bathsheba,13.2167,-59.5167,78.8,65,40,19.57,BB,1612167821
141,acapulco,16.8634,-99.8901,74.62,82,0,3.98,MX,1612167528
142,ilhabela,-23.7781,-45.3581,76.87,82,100,3.11,BR,1612167822
143,marsh harbour,26.5412,-77.0636,72.84,81,61,21.18,BS,1612167822
144,tevaitoa,-16.7833,-151.5,81.46,73,84,10.92,PF,1612167822
145,bud,39.447,-86.1758,28.0,95,100,13.73,US,1612167822
146,great yarmouth,52.6083,1.7305,39.2,87,75,5.75,GB,1612167822
147,atuona,-9.8,-139.0333,78.66,76,3,17.16,PF,1612167822
148,kununurra,-15.7667,128.7333,87.8,74,97,9.22,AU,1612167822
149,saskylakh,71.9167,114.0833,-31.36,83,81,7.99,RU,1612167822
150,carnduff,49.1667,-101.8009,10.0,90,65,5.99,CA,1612167823
151,karratha,-20.7377,116.8463,79.68,76,100,10.67,AU,1612167823
152,dingle,10.9995,122.6711,82.2,73,3,13.85,PH,1612167823
153,pitimbu,-7.4706,-34.8086,78.8,83,20,4.61,BR,1612167823
154,hermanus,-34.4187,19.2345,68.0,55,100,5.99,ZA,1612167823
155,ketchikan,55.3422,-131.6461,33.8,100,90,3.76,US,1612167823
156,kristiinankaupunki,62.2743,21.376,20.07,97,97,1.34,FI,1612167823
157,provideniya,64.3833,-173.3,4.59,92,100,28.07,RU,1612167823
158,pangnirtung,66.1451,-65.7125,-13.92,83,99,8.88,CA,1612167824
159,mirador,-6.3708,-44.3631,70.81,88,0,0.51,BR,1612167824
160,esmeraldas,-19.7625,-44.3139,69.8,73,0,3.44,BR,1612167824
161,airai,-8.9266,125.4092,69.37,81,95,5.59,TL,1612167824
162,mount gambier,-37.8333,140.7667,64.4,55,40,17.27,AU,1612167824
163,sao filipe,14.8961,-24.4956,72.88,65,0,7.92,CV,1612167824
164,bereda,43.2686,-7.5406,53.01,97,98,10.0,ES,1612167824
165,saldanha,-33.0117,17.9442,68.68,64,100,15.9,ZA,1612167825
166,chilca,-12.5211,-76.7372,71.01,77,0,3.44,PE,1612167825
167,butterworth,5.3991,100.3638,91.4,49,40,6.91,MY,1612167825
168,dalvik,65.9702,-18.5286,-7.6,77,0,11.5,IS,1612167825
169,arraial do cabo,-22.9661,-42.0278,75.36,86,86,19.82,BR,1612167683
170,kodiak,57.79,-152.4072,26.6,68,1,9.22,US,1612167825
171,ronda,36.7423,-5.1671,57.0,71,65,5.99,ES,1612167825
172,panaba,21.2833,-88.2667,67.89,92,2,7.49,MX,1612167825
173,takoradi,4.8845,-1.7554,80.38,83,0,4.59,GH,1612167825
174,patacamaya,-17.2333,-67.9167,46.09,78,100,5.3,BO,1612167826
175,shenjiamen,29.9576,122.298,47.5,97,100,10.69,CN,1612167826
176,springfield,37.2153,-93.2982,30.99,86,90,18.41,US,1612167761
177,necocli,8.4234,-76.786,77.45,88,69,7.47,CO,1612167826
178,wadi musa,30.3222,35.4793,55.98,38,0,11.18,JO,1612167820
179,alice springs,-23.7,133.8833,98.6,20,100,18.41,AU,1612167826
180,east london,-33.0153,27.9116,62.6,94,75,8.05,ZA,1612167826
181,usilampatti,9.9667,77.8,87.8,51,40,9.22,IN,1612167826
182,tongren,27.7172,109.1853,57.04,65,89,1.97,CN,1612167827
183,neosho,36.869,-94.368,33.01,84,57,1.01,US,1612167790
184,labuhan,-6.8844,112.2051,84.22,77,41,17.22,ID,1612167827
185,pevek,69.7008,170.3133,-8.54,84,100,3.78,RU,1612167827
186,victoria,22.2855,114.1577,73.4,64,20,6.91,HK,1612167636
187,villa bruzual,9.3328,-69.1208,75.13,76,96,3.91,VE,1612167827
188,marsa matruh,31.3525,27.2453,68.0,32,0,24.16,EG,1612167827
189,nyrob,60.733,56.7202,28.33,97,100,17.56,RU,1612167827
190,pasni,25.2631,63.471,71.55,67,0,8.81,PK,1612167827
191,aktau,43.65,51.2,44.6,76,90,8.95,KZ,1612167828
192,lata,40.1629,-8.3327,57.0,94,100,4.47,PT,1612167828
193,kavaratti,10.5669,72.642,82.02,71,36,9.17,IN,1612167828
